Knife_ID,True_Class,True_Ra,Total_Test_Appearances,Correct_Predictions,Accuracy_Rate
knife_test_777,1,0.14,3,0,0.0
knife_test_779,1,0.14,3,0,0.0
knife_test_781,1,0.13,3,0,0.0
knife_test_785,1,0.13,2,0,0.0
knife_test_788,1,0.13,2,0,0.0
knife_test_798,0,0.12,1,0,0.0
knife_test_799,0,0.12,1,1,1.0
knife_test_801,0,0.12,2,1,0.5
knife_test_807,0,0.12,1,0,0.0
knife_test_811,1,0.13,2,0,0.0
knife_test_812,1,0.13,3,0,0.0
knife_test_814,1,0.13,1,0,0.0
knife_test_815,1,0.13,3,0,0.0
knife_test_817,1,0.13,1,1,1.0
knife_test_818,1,0.13,2,0,0.0
knife_test_82,1,0.14,3,0,0.0
knife_test_821,0,0.11,3,3,1.0
knife_test_822,0,0.11,3,3,1.0
knife_test_830,1,0.14,3,1,0.3333333333333333
knife_test_832,1,0.14,3,2,0.6666666666666666
knife_test_839,1,0.14,2,0,0.0
knife_test_841,0,0.11,3,3,1.0
knife_test_844,0,0.11,1,1,1.0
knife_test_845,0,0.11,3,0,0.0
knife_test_850,0,0.09,1,1,1.0
knife_test_852,0,0.09,2,2,1.0
knife_test_855,0,0.09,3,2,0.6666666666666666
knife_test_860,0,0.1,1,1,1.0
knife_test_861,0,0.1,2,2,1.0
knife_test_864,0,0.1,2,2,1.0
knife_test_866,0,0.1,3,3,1.0
knife_test_867,0,0.1,1,1,1.0
knife_test_868,0,0.1,2,2,1.0
knife_test_875,0,0.09,2,2,1.0
knife_test_876,0,0.09,3,3,1.0
knife_test_88,1,0.14,3,3,1.0
knife_test_882,0,0.09,3,3,1.0
knife_test_884,0,0.09,2,2,1.0
knife_test_886,0,0.09,3,3,1.0
knife_test_891,0,0.09,2,2,1.0
knife_test_9,1,0.16,1,1,1.0
knife_test_901,0,0.1,3,3,1.0
knife_test_904,0,0.1,2,2,1.0
knife_test_907,0,0.1,1,1,1.0
knife_test_916,0,0.08,3,3,1.0
knife_test_918,0,0.08,3,3,1.0
knife_test_919,0,0.08,2,2,1.0
knife_test_924,1,0.16,3,3,1.0
knife_test_926,1,0.16,2,2,1.0
knife_test_933,1,0.14,2,1,0.5
knife_test_937,1,0.14,3,1,0.3333333333333333
knife_test_94,1,0.18,1,1,1.0
knife_test_940,0,0.1,3,2,0.6666666666666666
knife_test_947,0,0.1,2,2,1.0
knife_test_949,0,0.1,3,3,1.0
knife_test_95,1,0.18,3,2,0.6666666666666666
knife_test_950,0,0.09,3,0,0.0
knife_test_951,0,0.09,3,3,1.0
knife_test_952,0,0.09,3,2,0.6666666666666666
knife_test_953,0,0.09,1,1,1.0
knife_test_954,0,0.09,3,2,0.6666666666666666
knife_test_956,0,0.09,2,2,1.0
knife_test_962,0,0.12,2,2,1.0
knife_test_967,0,0.12,1,1,1.0
knife_test_968,0,0.12,2,1,0.5
knife_test_98,1,0.18,1,1,1.0
knife_test_983,0,0.11,3,3,1.0
knife_test_985,0,0.11,3,3,1.0
knife_test_990,0,0.12,1,1,1.0
knife_test_992,0,0.12,3,3,1.0
knife_test_996,0,0.12,3,2,0.6666666666666666
knife_test_998,0,0.12,2,1,0.5
knife_train_Koch-A0-T0-05_cropped_Messpunkt,1,0.16,20,1,0.05
knife_train_Koch-A0-T0-10_cropped_Messpunkt,1,0.14,20,18,0.9
knife_train_Koch-A0-T0-14_cropped_Messpunkt,1,0.15,20,9,0.45
knife_train_Koch-A0-T0-15_cropped_Messpunkt,1,0.16,20,11,0.55
knife_train_Koch-A0-T0-19_cropped_Messpunkt,1,0.16,20,4,0.2
knife_train_Koch-A0-T0-20_cropped_Messpunkt,1,0.13,20,0,0.0
knife_train_Koch-A1-T1-02_cropped_Messpunkt,1,0.14,20,12,0.6
knife_train_Koch-A1-T1-06_cropped_Messpunkt,1,0.16,30,22,0.7333333333333333
knife_train_Koch-A1-T1-07_cropped_Messpunkt,1,0.15,30,15,0.5
knife_train_Koch-A1-T1-13_cropped_Messpunkt,1,0.13,20,7,0.35
knife_train_Koch-A1-T1-15_cropped_Messpunkt,1,0.16,10,6,0.6
knife_train_Koch-A1-T1-18_cropped_Messpunkt,1,0.15,10,3,0.3
knife_train_Koch-A10-T10-07_cropped_Messpunkt,1,0.19,20,0,0.0
knife_train_Koch-A10-T10-08_cropped_Messpunkt,1,0.2,10,0,0.0
knife_train_Koch-A10-T10-11_cropped_Messpunkt,2,0.31,10,0,0.0
knife_train_Koch-A11-T11-09_cropped_Messpunkt,1,0.17,20,7,0.35
knife_train_Koch-A11-T11-14_cropped_Messpunkt,1,0.17,20,14,0.7
knife_train_Koch-A11-T11-16_cropped_Messpunkt,1,0.2,20,18,0.9
knife_train_Koch-A11-T11-20_cropped_Messpunkt,1,0.15,10,10,1.0
knife_train_Koch-A12-T12-08_cropped_Messpunkt,1,0.21,30,3,0.1
knife_train_Koch-A12-T12-11_cropped_Messpunkt,2,0.24,30,4,0.13333333333333333
knife_train_Koch-A13-T13-04_cropped_Messpunkt,2,0.37,30,15,0.5
knife_train_Koch-A13-T13-05_cropped_Messpunkt,2,0.34,20,15,0.75
knife_train_Koch-A13-T13-08_cropped_Messpunkt,2,0.29,10,6,0.6
knife_train_Koch-A13-T13-12_cropped_Messpunkt,2,0.27,20,13,0.65
knife_train_Koch-A13-T13-14_cropped_Messpunkt,2,0.26,20,13,0.65
knife_train_Koch-A13-T13-15_cropped_Messpunkt,2,0.25,10,4,0.4
knife_train_Koch-A13-T13-17_cropped_Messpunkt,1,0.21,20,17,0.85
knife_train_Koch-A14-T14-03_cropped_Messpunkt,2,0.3,30,19,0.6333333333333333
knife_train_Koch-A14-T14-11_cropped_Messpunkt,2,0.32,30,15,0.5
knife_train_Koch-A15-T15-07_cropped_Messpunkt,1,0.18,20,8,0.4
knife_train_Koch-A15-T15-08_cropped_Messpunkt,1,0.13,10,1,0.1
knife_train_Koch-A15-T15-09_cropped_Messpunkt,1,0.19,10,6,0.6
knife_train_Koch-A15-T15-10_cropped_Messpunkt,2,0.27,10,7,0.7
knife_train_Koch-A15-T15-14_cropped_Messpunkt,2,0.31,30,22,0.7333333333333333
knife_train_Koch-A15-T15-15_cropped_Messpunkt,1,0.18,30,20,0.6666666666666666
knife_train_Koch-A15-T15-17_cropped_Messpunkt,1,0.19,10,0,0.0
knife_train_Koch-A15-T15-19_cropped_Messpunkt,2,0.23,10,4,0.4
knife_train_Koch-A16B-T16B-03_cropped_Messpunkt,2,0.26,30,18,0.6
knife_train_Koch-A16B-T16B-07_cropped_Messpunkt,2,0.29,20,16,0.8
knife_train_Koch-A17-T17-01_cropped_Messpunkt,0,0.1,20,9,0.45
knife_train_Koch-A17-T17-06_cropped_Messpunkt,1,0.18,10,10,1.0
knife_train_Koch-A17-T17-07_cropped_Messpunkt,1,0.16,20,2,0.1
knife_train_Koch-A17-T17-19_cropped_Messpunkt,1,0.17,10,10,1.0
knife_train_Koch-A18-T18-06_cropped_Messpunkt,1,0.13,20,16,0.8
knife_train_Koch-A18-T18-08_cropped_Messpunkt,1,0.14,20,18,0.9
knife_train_Koch-A19-T19-04_cropped_Messpunkt,0,0.1,20,20,1.0
knife_train_Koch-A19-T19-11_cropped_Messpunkt,0,0.11,30,29,0.9666666666666667
knife_train_Koch-A19-T19-13_cropped_Messpunkt,0,0.11,20,3,0.15
knife_train_Koch-A19-T19-15_cropped_Messpunkt,1,0.13,20,4,0.2
knife_train_Koch-A19-T19-17_cropped_Messpunkt,0,0.1,20,8,0.4
knife_train_Koch-A2-T2-03_cropped_Messpunkt,0,0.12,20,13,0.65
knife_train_Koch-A2-T2-09_cropped_Messpunkt,1,0.14,20,4,0.2
knife_train_Koch-A20-T20-07_cropped_Messpunkt,1,0.18,20,14,0.7
knife_train_Koch-A20-T20-08_cropped_Messpunkt,2,0.25,10,0,0.0
knife_train_Koch-A20-T20-09_cropped_Messpunkt,2,0.22,30,11,0.36666666666666664
knife_train_Koch-A21-T21-05_cropped_Messpunkt,1,0.18,20,18,0.9
knife_train_Koch-A21-T21-09_cropped_Messpunkt,1,0.15,10,7,0.7
knife_train_Koch-A21-T21-11_cropped_Messpunkt,1,0.18,20,9,0.45
knife_train_Koch-A22-T22-02_cropped_Messpunkt,1,0.14,10,5,0.5
knife_train_Koch-A22-T22-04_cropped_Messpunkt,1,0.14,10,1,0.1
knife_train_Koch-A22-T22-14_cropped_Messpunkt,1,0.16,10,0,0.0
knife_train_Koch-A23-T23-03_cropped_Messpunkt,2,0.25,10,8,0.8
knife_train_Koch-A23-T23-05_cropped_Messpunkt,1,0.19,30,11,0.36666666666666664
knife_train_Koch-A23-T23-09_cropped_Messpunkt,1,0.16,20,6,0.3
knife_train_Koch-A23-T23-12_cropped_Messpunkt,0,0.11,20,18,0.9
knife_train_Koch-A24-T24-06_cropped_Messpunkt,1,0.13,10,3,0.3
knife_train_Koch-A24-T24-11_cropped_Messpunkt,1,0.14,10,2,0.2
knife_train_Koch-A24-T24-18_cropped_Messpunkt,0,0.12,30,22,0.7333333333333333
knife_train_Koch-A24-T24-19_cropped_Messpunkt,0,0.12,20,19,0.95
knife_train_Koch-A24-T24-20_cropped_Messpunkt,1,0.14,20,2,0.1
knife_train_Koch-A25-T25-01_cropped_Messpunkt,0,0.09,20,20,1.0
knife_train_Koch-A25-T25-02_cropped_Messpunkt,0,0.1,30,30,1.0
knife_train_Koch-A25-T25-06_cropped_Messpunkt,0,0.09,30,30,1.0
knife_train_Koch-A25-T25-13_cropped_Messpunkt,1,0.13,20,0,0.0
knife_train_Koch-A25-T25-20_cropped_Messpunkt,0,0.12,10,10,1.0
knife_train_Koch-A26-T26-02_cropped_Messpunkt,1,0.13,10,0,0.0
knife_train_Koch-A26-T26-05_cropped_Messpunkt,1,0.15,20,6,0.3
knife_train_Koch-A26-T26-06_cropped_Messpunkt,0,0.12,30,14,0.4666666666666667
knife_train_Koch-A26-T26-17_cropped_Messpunkt,1,0.14,20,8,0.4
knife_train_Koch-A27-T27-03_cropped_Messpunkt,0,0.11,10,3,0.3
knife_train_Koch-A27-T27-06_cropped_Messpunkt,1,0.13,10,7,0.7
knife_train_Koch-A27-T27-07_cropped_Messpunkt,0,0.12,30,30,1.0
knife_train_Koch-A27-T27-16_cropped_Messpunkt,0,0.12,20,13,0.65
knife_train_Koch-A27-T27-17_cropped_Messpunkt,0,0.12,10,2,0.2
knife_train_Koch-A27-T27-19_cropped_Messpunkt,0,0.11,20,20,1.0
knife_train_Koch-A28-T28-08_cropped_Messpunkt,1,0.13,30,5,0.16666666666666666
knife_train_Koch-A28-T28-16_cropped_Messpunkt,0,0.12,10,9,0.9
knife_train_Koch-A28-T28-19_cropped_Messpunkt,0,0.12,30,30,1.0
knife_train_Koch-A29-T29-09_cropped_Messpunkt,0,0.08,10,10,1.0
knife_train_Koch-A29-T29-17_cropped_Messpunkt,0,0.1,30,17,0.5666666666666667
knife_train_Koch-A29-T29-19_cropped_Messpunkt,0,0.09,20,20,1.0
knife_train_Koch-A3-T3-06_cropped_Messpunkt,1,0.13,10,6,0.6
knife_train_Koch-A3-T3-18_cropped_Messpunkt,1,0.17,30,11,0.36666666666666664
knife_train_Koch-A3-T3-19_cropped_Messpunkt,1,0.14,10,6,0.6
knife_train_Koch-A30-T30-01_cropped_Messpunkt,1,0.13,30,7,0.23333333333333334
knife_train_Koch-A30-T30-05_cropped_Messpunkt,1,0.13,30,24,0.8
knife_train_Koch-A30-T30-08_cropped_Messpunkt,0,0.11,20,19,0.95
knife_train_Koch-A30-T30-17_cropped_Messpunkt,1,0.14,10,0,0.0
knife_train_Koch-A31-T31-01_cropped_Messpunkt,1,0.13,10,1,0.1
knife_train_Koch-A31-T31-04_cropped_Messpunkt,0,0.12,30,28,0.9333333333333333
knife_train_Koch-A31-T31-08_cropped_Messpunkt,1,0.13,30,12,0.4
knife_train_Koch-A31-T31-13_cropped_Messpunkt,1,0.14,10,7,0.7
knife_train_Koch-A31-T31-14_cropped_Messpunkt,1,0.13,30,16,0.5333333333333333
knife_train_Koch-A31-T31-15_cropped_Messpunkt,0,0.11,30,29,0.9666666666666667
knife_train_Koch-A31-T31-16_cropped_Messpunkt,0,0.1,10,10,1.0
knife_train_Koch-A4-T4-04_cropped_Messpunkt,1,0.13,20,14,0.7
knife_train_Koch-A4-T4-07_cropped_Messpunkt,1,0.13,10,5,0.5
knife_train_Koch-A4-T4-08_cropped_Messpunkt,1,0.16,20,20,1.0
knife_train_Koch-A4-T4-13_cropped_Messpunkt,1,0.16,10,7,0.7
knife_train_Koch-A4-T4-14_cropped_Messpunkt,1,0.16,30,15,0.5
knife_train_Koch-A5-T5-01_cropped_Messpunkt,1,0.18,20,13,0.65
knife_train_Koch-A5-T5-02_cropped_Messpunkt,1,0.17,10,2,0.2
knife_train_Koch-A5-T5-03_cropped_Messpunkt,1,0.17,30,20,0.6666666666666666
knife_train_Koch-A5-T5-06_cropped_Messpunkt,1,0.15,20,0,0.0
knife_train_Koch-A5-T5-11_cropped_Messpunkt,1,0.17,20,18,0.9
knife_train_Koch-A5-T5-13_cropped_Messpunkt,1,0.16,20,4,0.2
knife_train_Koch-A5-T5-14_cropped_Messpunkt,1,0.16,20,0,0.0
knife_train_Koch-A5-T5-17_cropped_Messpunkt,1,0.16,10,5,0.5
knife_train_Koch-A5-T5-18_cropped_Messpunkt,1,0.14,30,22,0.7333333333333333
knife_train_Koch-A5-T5-20_cropped_Messpunkt,1,0.15,10,2,0.2
knife_train_Koch-A6-T6-09_cropped_Messpunkt,1,0.14,10,2,0.2
knife_train_Koch-A6-T6-15_cropped_Messpunkt,1,0.16,30,22,0.7333333333333333
knife_train_Koch-A6-T6-19_cropped_Messpunkt,1,0.13,10,6,0.6
knife_train_Koch-A6-T6-20_cropped_Messpunkt,1,0.14,20,18,0.9
knife_train_Koch-A7-T7-05_cropped_Messpunkt,1,0.15,30,10,0.3333333333333333
knife_train_Koch-A7-T7-12_cropped_Messpunkt,1,0.17,30,13,0.43333333333333335
knife_train_Koch-A7-T7-13_cropped_Messpunkt,0,0.12,30,2,0.06666666666666667
knife_train_Koch-A7-T7-14_cropped_Messpunkt,0,0.12,20,14,0.7
knife_train_Koch-A7-T7-16_cropped_Messpunkt,1,0.16,10,2,0.2
knife_train_Koch-A7-T7-17_cropped_Messpunkt,1,0.16,30,15,0.5
knife_train_Koch-A8-T8-03_cropped_Messpunkt,2,0.28,10,10,1.0
knife_train_Koch-A8-T8-10_cropped_Messpunkt,2,0.33,10,10,1.0
knife_train_Koch-A8-T8-11_cropped_Messpunkt,2,0.35,20,20,1.0
knife_train_Koch-A8-T8-13_cropped_Messpunkt,2,0.35,30,28,0.9333333333333333
knife_train_Koch-A8-T8-17_cropped_Messpunkt,2,0.32,20,18,0.9
knife_train_Koch-A9-T9-04_cropped_Messpunkt,2,0.42,10,10,1.0
knife_train_Koch-A9-T9-07_cropped_Messpunkt,2,0.39,30,30,1.0
knife_train_Koch-A9-T9-14_cropped_Messpunkt,2,0.37,30,30,1.0
knife_train_Koch-A9-T9-16_cropped_Messpunkt,2,0.32,30,30,1.0
knife_train_Koch-A9-T9-18_cropped_Messpunkt,2,0.3,20,18,0.9
knife_train_Koch-F1-03_cropped_Messpunkt,1,0.14,30,29,0.9666666666666667
knife_train_Koch-F1-07_cropped_Messpunkt,1,0.13,10,8,0.8
knife_train_Koch-F1-08_cropped_Messpunkt,1,0.17,10,10,1.0
knife_train_Koch-F1-09_cropped_Messpunkt,1,0.15,10,6,0.6
knife_train_Koch-F1-10_cropped_Messpunkt,1,0.14,20,19,0.95
knife_train_Koch-F1-12_cropped_Messpunkt,1,0.16,20,17,0.85
knife_train_Koch-F1-16_cropped_Messpunkt,1,0.16,20,20,1.0
knife_train_Koch-F1-18_cropped_Messpunkt,1,0.14,10,2,0.2
knife_train_Koch-F1-19_cropped_Messpunkt,1,0.18,10,9,0.9
knife_train_Koch-F1-20_cropped_Messpunkt,1,0.16,30,3,0.1
knife_train_Koch-F2-04_cropped_Messpunkt,1,0.21,10,7,0.7
knife_train_Koch-F2-13_cropped_Messpunkt,1,0.2,30,27,0.9
knife_train_Koch-VVS10-01_cropped_Messpunkt,1,0.13,10,6,0.6
knife_train_Koch-VVS10-02_cropped_Messpunkt,0,0.11,20,17,0.85
knife_train_Koch-VVS10-16_cropped_Messpunkt,0,0.11,20,18,0.9
knife_train_Koch-VVS13-02_cropped_Messpunkt,0,0.11,10,10,1.0
knife_train_Koch-VVS13-06_cropped_Messpunkt,0,0.1,30,19,0.6333333333333333
knife_train_Koch-VVS13-09_cropped_Messpunkt,0,0.09,10,10,1.0
knife_train_Koch-VVS13-11_cropped_Messpunkt,0,0.1,10,10,1.0
knife_train_Koch-VVS13-13_cropped_Messpunkt,1,0.13,30,8,0.26666666666666666
knife_train_Koch-VVS13-18_cropped_Messpunkt,0,0.12,20,14,0.7
knife_train_Koch-VVS16-01_cropped_Messpunkt,0,0.1,20,20,1.0
knife_train_Koch-VVS16-08_cropped_Messpunkt,0,0.1,30,30,1.0
knife_train_Koch-VVS16-10_cropped_Messpunkt,0,0.1,20,20,1.0
knife_train_Koch-VVS16-12_cropped_Messpunkt,0,0.11,10,1,0.1
knife_train_Koch-VVS16-13_cropped_Messpunkt,0,0.11,20,20,1.0
knife_train_Koch-VVS16-14_cropped_Messpunkt,0,0.09,20,19,0.95
knife_train_Koch-VVS19-05_cropped_Messpunkt,1,0.14,30,20,0.6666666666666666
knife_train_Koch-VVS19-08_cropped_Messpunkt,0,0.12,30,4,0.13333333333333333
knife_train_Koch-VVS19-15_cropped_Messpunkt,1,0.13,20,8,0.4
knife_train_Koch-VVS22-01_cropped_Messpunkt,1,0.13,10,5,0.5
knife_train_Koch-VVS22-03_cropped_Messpunkt,1,0.13,30,10,0.3333333333333333
knife_train_Koch-VVS22-05_cropped_Messpunkt,1,0.13,30,1,0.03333333333333333
knife_train_Koch-VVS22-06_cropped_Messpunkt,0,0.12,10,10,1.0
knife_train_Koch-VVS22-07_cropped_Messpunkt,1,0.14,10,0,0.0
knife_train_Koch-VVS22-10_cropped_Messpunkt,1,0.13,20,7,0.35
knife_train_Koch-VVS23-09_cropped_Messpunkt,1,0.16,10,8,0.8
knife_train_Koch-VVS23-15_cropped_Messpunkt,1,0.17,30,22,0.7333333333333333
knife_train_Koch-VVS24-01_cropped_Messpunkt,1,0.18,10,0,0.0
knife_train_Koch-VVS24-08_cropped_Messpunkt,1,0.13,10,4,0.4
knife_train_Koch-VVS24-13_cropped_Messpunkt,0,0.11,10,3,0.3
knife_train_Koch-VVS24-19_cropped_Messpunkt,1,0.13,30,11,0.36666666666666664
knife_train_Koch-VVS24-20_cropped_Messpunkt,0,0.11,10,3,0.3
knife_train_Koch-VVS4-02_cropped_Messpunkt,0,0.11,30,27,0.9
knife_train_Koch-VVS4-03_cropped_Messpunkt,0,0.1,10,7,0.7
knife_train_Koch-VVS4-11_cropped_Messpunkt,0,0.11,10,10,1.0
knife_train_Koch-VVS4-18_cropped_Messpunkt,0,0.09,30,25,0.8333333333333334
knife_train_Koch-VVS7-03_cropped_Messpunkt,1,0.14,10,2,0.2
knife_train_Koch-VVS7-05_cropped_Messpunkt,0,0.12,30,25,0.8333333333333334
knife_train_Koch-VVS7-10_cropped_Messpunkt,0,0.12,20,17,0.85
